review_id,Username,Address,Rating,Language,ID_clause,Feedback,Topic,Label
5671,Q Nguyen,Cai Rang Floating Market,5,en,5671.d,there wasn’t that much to buy for me and my family personally,0,VP
16169,freeto20,Dragon Bridge,3,en,16169.a,"With a total length of 666 meters, it is known as the Bridge of Fortune in Da Nang, and",3,LV
2683,Tama,Ba Na Hills,4,en,2683.b,It was a reasonably enjoyable day with several worthwhile attractions.,0,VP
13534,호타루에요,Cat Cat Village,3,ko,13534.a,"The Safa was under construction, it was difficult to walk, it was hard to walk, and the village near the Saappa was in enough position to walk",-1,Outlier
41704,head,Notre Dame Cathedral of Saigon,3,en,41704.b,"There was scaffolding erected on both sides, suggesting that construction was underway.",0,VP
25176,John P,Hoa Lo Prison,2,en,25176.b,but not to be taken seriously.,0,VP
18421,Yan C,Fairy Stream,2,en,18421.b,"Unfortunately the place is full of plastic bags, bottles, pipes coming from the nearby restaurants...",2,NQ
14980,Wasi Mark,Dragon Bridge,5,en,14980.c,The weather was nice and not hot.,0,VP
37352,NswAustraliaDidi,My Son,1,en,37352.e,"Like many reviewers have previously said they certainly cannot be compared to Angkor Wat, a very very small sanctuary in comparison.",-1,Outlier
39079,konstantin,Nha Trang Beach,1,en,39079.ag,"If you and your child are less than 1.4 meters, you will not be able to drive full circle.13.",5,RE
3284,Lee R,Ba Na Hills,1,en,3284.a,"Not what I expected at all Firstly, if you don't like crowds then do not bother, it was absolutely packed with mainly Asian tourists.",0,VP
57937,flora_senses,The Independence Palace,2,en,57937.g,it can only fit like 5 ppl ><,0,VP
20993,Ammiraju Mutyala,Ho Chi Minh's Mausoleum,4,en,20993.a,Well maintaining by state and good preservation of Ho chi Minh used cars and house.,1,HH
48397,bring,Po Nagar Cham Towers,2,en,48397.a,Nha Trang really offers little in terms of attractions.,-1,Outlier
27671,JuanMarco31,Hue Imperial City,5,en,27671.d,"Too bad, let's hope that one day a restoration will be possible.",0,VP
3278,Jack,Ba Na Hills,1,en,3278.l,The people and management that represent this place are dishonest crooks who should feel ashamed in scamming the customer of their money.,0,VP
62170,Chiang Paul,VinWonders Nha Trang,4,en,62170.e,There is a shuttle bus from the hotel to the park's central point,9,AT
7806,ScottThorley,Cat Ba Island,4,en,7806.g,Definitely worth a 2/3 day visit.,-1,Outlier
37375,Stephan,My Son,1,de,37375.b,The trip was ok,-1,Outlier
28844,Nils Outhoff,Hue Imperial City,2,nl,28844.b,Everything you saw was rebuilt in the same style or restored. We expected more.,0,VP
47481,Andy (Andy),Po Nagar Cham Towers,3,en,47481.a,It's worth visiting at least once.,0,VP
58679,Oscar Berto,The Marble Mountains,5,en,58679.a,An incredible natural and spiritual site! The Marble Mountains offer breathtaking views of the coast and are filled with stunning caves and ancient pagodas.,8,CS
64728,astroaustralia,VinWonders Phu Quoc,2,en,64728.a,Took “free bus” to Vinpearlland from town ( approx 40 mins from the major town) ...,9,AT
32440,Andy F,Japanese Bridge,3,en,32440.d,"Just one of many ""attractions"" in Hoi An's old town.",-1,Outlier
56564,Michaela Stoiber,The Independence Palace,4,en,56564.b,The lady at the ticket counter kind of ripped us off and had already tickets for us issued including the audio guide which we actually had not wanted and requested.,0,VP
33182,GaulthierGot,Japanese Bridge,1,en,33182.e,while they just try to get money from any foreigners coming there!!!,0,VP
9311,Chanyanuch C,Crazy House Hang Nga Villa,3,en,9311.b,It has a strange architecture...small rooms in a tree-like structure where you go up and down the narrow stairs and you'll find different rooms. Worth a visit.,-1,Outlier
2501,은아 정,Ba Na Hills,5,en,2501.ao,"We tipped to get a FastGo ticket, and a driver named Pham Xuan Huy was matched.",9,AT
6712,John E,Cai Rang Floating Market,1,en,6712.a,Overpriced it's just food sitting on boats waiting for tourist to give them money and if you don't want to buy something your quickly pushed away not an experience I would recommend,-1,Outlier
62108,Mark Pham,VinWonders Nha Trang,4,vi,62108.a,"The shophouses are away, especially the restaurant is hard to get cut down. It's a day away. It's a long day.",-1,Outlier
18978,eunchul Kim,Fairy Stream,1,ko,18978.a,"It's a really unknowable tourist attraction, a one-way trip.",0,VP
24412,lotstoseeanddo,Hoa Lo Prison,3,en,24412.b,Only a small part of the original prison remains so the tour does not take long.,1,HH
3512,Tony Tran,Ben Thanh Market,5,en,3512.a,"Delicious, fresh dishes and value for money.",0,VP
57771,IntoTheWorldUK,The Independence Palace,2,en,57771.c,"The tanks and planes outside aren't even the ones that did the deed back in the day, which was disappointing.",7,MH
53673,I wish.,Temple Of Literature,5,en,53673.b,Our guide has explained the history and significance of the temple and first university.,8,CS
5019,E Chan,Ben Thanh Market,1,en,5019.b,They will literally gaslight you and say “are you crazy?” “You can’t do business like this” when you haggle close to the actual price.,0,VP
35933,Prentiss Charlotte,My Son,4,en,35933.b,It felt like stepping back in time and learning a piece of Vietnam's history.,1,HH
63912,Александр К,VinWonders Phu Quoc,4,ru,63912.a,"There's a fountain show at 7:00, a dolphin show, a vasectomy with a grotto (very good) water park with a roller coast and a children's mountain area, a ride, I recommend it's hot in the afternoon, it's up to 21 hours.",5,RE
30752,Tasmanian_Peccadillo,Ha Long Bay,2,en,30752.n,The local people and government are doing nothing to stop this polluting and it is obviously just getting worse.Halong Bay is a published UNESCO world heritage site and that alone on paper is a credible review of Halong Bay and a statement of the wonderful spot that it is.,4,SR
37260,Frank L,My Son,1,en,37260.a,Avoid avoid avoid this place. Food is terrible.,0,VP
36412,alanpcoleman,My Son,3,en,36412.a,"A significant historical sight recognised by UNESCO, this is a great attraction.",0,VP
30784,hargar,Ha Long Bay,2,en,30784.p,Two ladies onboard did and they were made to open their luggage and return them before they were able to leave the boat.,4,SR
18884,Anisha,Fairy Stream,1,en,18884.b,It’s just a brown stream to walk down.,2,NQ
29576,Pina David,Ha Long Bay,5,en,29576.h,We had a yummy lunch fresh seafood on the boat. And cold beer.,4,SR
4546,ewan m,Ben Thanh Market,2,en,4546.b,Not just the vendors inside but all around as well.,0,VP
31091,domtouche,Ha Long Bay,1,en,31091.l,Or you dont go and will probably regret it forever.,0,VP
31409,lisarT2161RZ,Japanese Bridge,5,en,31409.a,Lovely the first time Beautiful piece of history but accessibility depends on time of day!,-1,Outlier
22222,travelmatt20,Ho Chi Minh's Mausoleum,2,en,22222.g,A more interesting option is the subsequent visit to the park surrounding the old presidential villa from the French era.,7,MH
40608,Dream20907766349,Notre Dame Cathedral of Saigon,4,en,40608.c,The exterior is impressive. Grandiose!,0,VP
31116,JessO59,Ha Long Bay,1,en,31116.x,We were then taken back to the mainland and were off the boat by 10.30 - three hours earlier than our printed schedule.We were picked up by another tour guide on the wharf and were told we were going to restraunt for lunch.,4,SR
38991,MarkBald,Nha Trang Beach,2,en,38991.e,This is what Russian owners & operators have done to Nha Trang.,-1,Outlier
22720,Georgia Grey,Ho Chi Minh's Mausoleum,1,en,22720.b,can’t even take picture from outside.,11,PE
12447,ToonenMarjolein,Cu Chi Tunnel,1,nl,12447.a,Good to have seen it once,0,VP
22263,Katie P,Ho Chi Minh's Mausoleum,2,en,22263.d,I also really enjoyed seeing his cars.,9,AT
60158,Hairstyles Mila,The Marble Mountains,1,ru,60158.a,"There's nothing special to do with children here, study the maze route in advance!",0,VP
51807,goingwhereicanwhenican,Tam Coc-Bich Dong,4,en,51807.d,we refused and then they basically guilt tripped us into buying a drink for our driver.,-1,Outlier
43143,An Dinh School,Notre Dame Cathedral of Saigon,1,en,43143.a,I often choose the cinema near my house to watch movies.,-1,Outlier
46466,handy877 (handy877),Po Nagar Cham Towers,4,en,46466.e,There is no waiting time to enter,-1,Outlier
48597,Zapolyarets,Po Nagar Cham Towers,2,en,48597.c,"It was informative, and I learned a lot about Ganesha, Shiva, and so on.",8,CS
27717,Kim,Hue Imperial City,5,en,27717.e,"Missa reached out prior to our arrival to introduce herself, clarified meeting point, and was a total pleasure throughout. Highly recommend!",10,GS
64452,Anica1970,VinWonders Phu Quoc,3,en,64452.l,Don’t know hoe the standard will be next time. The lockers: this concept sucks!,-1,Outlier
28020,John CoLin,Hue Imperial City,5,en,28020.b,Architecture is especially not the same.,0,VP
52554,Jack Do,Tam Coc-Bich Dong,3,fr,52554.b,Without a doubt and from very far make Trang An.,-1,Outlier
47897,Archie K,Po Nagar Cham Towers,3,en,47897.d,Don't understand why they don't provide any of the historical info.,0,VP
4273,Mmarymomm,Ben Thanh Market,3,en,4273.e,It is as if the seller does not want you to pay a reasonable price.,0,VP
26666,Linh Số Thượng Lưu,Hoi An Ancient Town,4,en,26666.t,"I tried several famous dishes, including: Cao Lau – a unique noodle dish with pork, herbs, and crispy toppings.",0,VP
47675,bessionn85,Po Nagar Cham Towers,3,en,47675.c,Right behind the towers is a stall selling various souvenirs,0,VP
60701,Optimus Prime,Tra Su Cajuput Forest,4,en,60701.c,"Fish caught can be weighed and sold for 50-80k VND per kg, depending on the type.",-1,Outlier
17809,Maarten de Groot,Fairy Stream,4,nl,17809.a,Nice little river to wade through. Ideal for beautiful pictures with the red and white rocks combined with the green of the plants and a beautiful blue sky.,-1,Outlier
26066,Piotr M,Hoi An Ancient Town,5,en,26066.a,"the town is best visited in the evening when all the lampions are lighted, because they make an incredible impression",-1,Outlier
15223,Liwei82,Dragon Bridge,4,en,15223.a,Invigorating walk along the Dragon bridgeNice view of Han River and nearby bridgesStrolled to the nearby DHC Marina,3,LV
57097,Mark,The Independence Palace,3,en,57097.b,but all you can really see is a lot of furniture and not much else there's lots of tables lots chairs lots of lounges one big helicopter out the back after about the third room it became boring,0,VP
47876,Simon B,Po Nagar Cham Towers,3,en,47876.l,Needless to say whatever we ate was delicious and extremely inexpensive.,0,VP
38691,tonymN3619UF,Nha Trang Beach,3,en,38691.b,There are a couple of expensive restaurants and pubs called Louisiane and Sailing club.,-1,Outlier
51522,Thuy Ngoc Vo,Tam Coc-Bich Dong,5,vi,51522.a,"Nice and worth it, time of motion.",0,VP
13522,Sandra G,Cat Cat Village,3,en,13522.e,while their mothers look at you with dewy eyes.,-1,Outlier
2674,Ashwini Marathe,Ba Na Hills,4,en,2674.m,It was an out of the world experience!,0,VP
30756,Con L,Ha Long Bay,2,en,30756.a,"We did a 2 day 1 night tour of the bay in late April 2013 and were totally disappointed with the changes, since our first visit in 2006.",4,SR
53590,Meander03551048140,Temple Of Literature,5,en,53590.c,"The ancient trees, the red brick buildings with moss-covered tiled roofs, and especially the doctoral steles, all exuded an air of solemnity and tranquility.",0,VP
21618,A P,Ho Chi Minh's Mausoleum,3,en,21618.d,So many guards and deadly silence inside.,0,VP
49435,VicVNt,Saigon Central Post Office,4,en,49435.b,but many gift store instead of document and stuff to discover.,0,VP
20384,Vu Le,Ho Chi Minh's Mausoleum,5,en,20384.a,"Visiting Ho Chi Minh Mausoleum again in February 2026, I was struck by how powerful the place remains no matter how many times one has seen it before.",1,HH
30644,Yves O,Ha Long Bay,2,fr,30644.b,but the frustration begins as soon as you set your feet at Halong city.,4,SR
52655,Laurent C,Tam Coc-Bich Dong,2,fr,52655.s,"Inflexible in our turn, they throw black eyes at us.",0,VP
60303,Олег,The Marble Mountains,1,ru,60303.a,You want to break your legs?,-1,Outlier
21413,Peer Linder,Ho Chi Minh's Mausoleum,3,en,21413.b,"whole area was blocked of by military, couldn't even get a good picture from distance",11,PE
16845,Y T,Dragon Bridge,2,en,16845.e,"But since there are no other symbols of the city, it's become a popular tourist destination.",-1,Outlier
57967,Luân Nguyễn Thành,The Independence Palace,1,vi,57967.b,She said it was fun to leave here.,-1,Outlier
4781,Aritra Sarkar,Ben Thanh Market,2,en,4781.a,Outrageously priced. Shopkeepers are not nice.,0,VP
26185,Natalie N,Hoi An Ancient Town,5,en,26185.b,"I love the boat on Hoai river, many floating lanterns released by visitors there on the first night I saw.",-1,Outlier
20878,Oguz S,Ho Chi Minh's Mausoleum,5,en,20878.b,This kind of tribute to a great struggle is a beautiful example of respect.,-1,Outlier
51858,jeremyo642,Tam Coc-Bich Dong,4,fr,51858.b,"Besides the traditional cruise on Ha Long Bay, which I strongly recommend, we saw on blogs the site of Tam Coc (named Ha Long Terrestrial because of the similarity of the rock formations).",-1,Outlier
31506,James W,Japanese Bridge,5,en,31506.b,It's set in the picturesque town of hoi an also known as lantern city.,-1,Outlier
25844,HuddersT,Hoi An Ancient Town,5,en,25844.e,"but there was plenty else to see and do, including the ancient houses, assembly halls and cute shops and cafes.",-1,Outlier
33010,Bang Doan,Japanese Bridge,2,vi,33010.a,The Bridge is in sync.,3,LV
7624,elisechapman4,Cat Ba Island,4,en,7624.a,PLEASE CLEAN UP THE WATER BEFORE IT IS RUINED Amazing place.,2,NQ
38243,AI 9초 뉴스- 디노,Nha Trang Beach,4,en,38243.f,yet felt completely secure about them.,-1,Outlier
31133,leonardo23_11,Ha Long Bay,1,it,31133.e,The cabins were delivered to us at 17.00 and in the morning we had to free them by 8.00 ... you don't understand why.,-1,Outlier
27840,CarloBattista,Hue Imperial City,5,en,27840.h,"The nicest one was the story of Emperor Minh Mạng, who ruled the empire from 1820 to 1840, and had 120 children with his concubines.",1,HH
26932,うえん❄,Hoi An Ancient Town,3,en,26932.f,It's not like a barrier and I get the impression it's being exploited randomly.,-1,Outlier
